date,date_kind,date_precision,track,category,headline,detail,quote,source_type,source_ref,issue,verified,notes
2020-03-09,published,day,ucl,governance,A mitigation working group meets daily across fifteen strands of activity,"Deans, heads of department, senior management and Students' Union UCL, meeting daily, with Education Committee weekly.","The working group of Deans, Heads of Department, members of the senior management team and Students’ Union UCL has been established to mitigate the short and longer term risks to the university across 15 strands of activity.",newsletter,000_9_March__Issue_1_.html,1,quote-exact,The fifteen strands are the earliest statement of what UCL thought was at risk. Issue 2 records the group meeting daily and Education Committee weekly.
2020-03-09,published,day,ucl,restrictions,Campus remains open on Public Health England advice,"UCL's opening position: follow PHE, NHS and FCO advice rather than act independently.","On the advice of PHE, the university remains open and we recommend that students, staff and visitors attend their scheduled activities as normal.",newsletter,000_9_March__Issue_1_.html,1,quote-exact,The baseline against which every later closure is measured. Four days later face-to-face teaching ceased.
2020-03-09,published,day,ucl,governance,UCL begins a daily coronavirus update for staff,"The first of what became 165 numbered issues, running to 4 May 2022. The stated reason is that the situation was changing faster than the FAQ page could carry.",we have decided to issue a daily update for the time being,newsletter,000_9_March__Issue_1_.html,1,quote-exact,"The newsletter series begins seven months before the case statistics, which start 2020-10-09. The timeline's first act has no data track."
2020-03-10,announced,day,ucl,teaching,Students who choose not to attend teaching will not be penalised,"Teaching continued in person, but attendance stopped being compulsory. The first crack in normal operation.",UCL will not penalise any students who choose not to attend teaching events,newsletter,001_10_March__Issue_2_.html,2,quote-exact,
2020-03-10,announced,day,ucl,restrictions,UCL advises against all international UCL trips,Applied in both directions and to contractors and visitors as well as staff and students.,"UCL is advising against all international UCL trips for staff, undergraduate students, contractors and visitors, in-bound and out-bound",newsletter,001_10_March__Issue_2_.html,2,quote-exact,
2020-03-11,effective,day,ucl,restrictions,International travel on UCL business halted until 1 May,"Advice of the previous day hardened into an instruction, with delegations cancelled and incoming visitors postponed.","As of today, staff and students should not travel internationally on UCL business until 1 May 2020",newsletter,002_11_March__Issue_3_.html,3,quote-exact,Same day the WHO declared a pandemic. Whether UCL was responding to that is not stated in the newsletter and should not be asserted.
2020-03-12,observed,day,ucl,epidemiology,First confirmed coronavirus case in the UCL community,"A student, reported to staff on 12 March and referred back to in issue 5 the following day.",I wrote to you yesterday to let you know that one of our students has tested positive for coronavirus (Covid-19).,newsletter,005_13_March__Issue_5_.html,5,quote-exact,"Filed on 12 March, the date of the event, though the source is the newsletter of 13 March. Seven months before the case statistics begin, so this case appears in no dataset."
2020-03-12,announced,day,ucl,teaching,Study Abroad and affiliate students formally recalled,Students already overseas were asked to return to the UK or their home country; those about to depart were told not to go.,"the university is formally recalling students who are taking part in Study Abroad, Double or Dual degree, or international Affiliate programmes",newsletter,003_12_March__Issue_4_.html,4,quote-exact,
2020-03-12,announced,day,ucl,accommodation,UCL-managed halls to stay open all year even if UCL closes,An early and load-bearing commitment: accommodation was decoupled from campus operation from the outset.,"all UCL-managed halls will remain open as usual throughout the year, even if UCL is closed",newsletter,003_12_March__Issue_4_.html,4,quote-exact,"Held to. Eight days later students were urged to leave, but the halls stayed open for those with nowhere to go."
2020-03-12,effective,day,ucl,wellbeing,Walk-in service at the partner GP surgery suspended,Ridgmount Practice moved to telephone triage on PHE advice.,the walk-in service at Ridgmount Practice (UCL's partner GP surgery) is suspended until further notice,newsletter,003_12_March__Issue_4_.html,4,quote-exact,
2020-03-13,announced,day,ucl,teaching,All term 3 teaching to be delivered online via Moodle,"Decided in March for a term beginning in April, so UCL had committed to a remote summer term before the first lockdown began.",All teaching in term 3 will be delivered online via Moodle as far as possible.,newsletter,004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,,quote-exact,
2020-03-13,announced,day,ucl,assessment,Alternative assessment replaces exams for taught students,"Open-book assessment and coursework, so that students could complete the year away from campus.","Alternative forms of assessment will be put in place for all other taught students, such as open book assessments and further coursework, to enable students to complete assessments away from the university.",newsletter,004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,,quote-exact,
2020-03-13,announced,day,ucl,civic,Clinical academics released to support the NHS,"A standing release rather than a case-by-case one, and the first of UCL's civic contributions in the record.",Not only have we agreed to release all our clinical academics from their UCL responsibilities if they wish to support the NHS service during the coronavirus outbreak,newsletter,004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,,quote-exact,"Category civic, so that the civic contributions can be filtered out of the lag analysis. See TIMELINE-PLAN.md open question 3."
2020-03-13,announced,day,ucl,teaching,Face-to-face teaching ceases; teaching moves online from 16 March,Approved by Academic Committee on 13 March and announced the same day in both the Provost's View and issue 5.,"Face-to-face teaching will cease with effect from today, 13 March, with as much teaching as possible moving online from Monday 16 March until the end of term 2.",newsletter,004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,,quote-exact,"Ten days before the national lockdown of 23 March 2020, and the clearest case in the record of UCL acting ahead of national policy. The lag is negative. Also carried verbatim in issue 5 the same day."
